BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
12/15/2025,SEBZE,MARUL AYSBERG,ADET,10,15.0,12.5
12/15/2025,SEBZE,MARUL LOLOROSSO,ADET,20,30.0,25.0
12/15/2025,SEBZE,PATATES  CALMA,KG,10,16.0,13.0
12/15/2025,SEBZE,PATLICAN  UZUN,KG,20,35.0,27.5
12/15/2025,SEBZE,PAZI,ADET,10,20.0,15.0
12/15/2025,SEBZE,SALATALIK ,KG,20,45.0,32.5
12/15/2025,SEBZE,SARIMSAK  KURU,KG,70,160.0,115.0
12/15/2025,SEBZE,SOĞAN   KIRMIZI,KG,10,35.0,22.5
12/15/2025,SEBZE,SOĞAN   TAZE,KG,30,50.0,40.0
12/15/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
12/15/2025,SEBZE,Y.NANE,BAĞ,3,7.0,5.0
12/15/2025,SEBZE,Y.ROKA,BAĞ,3,7.0,5.0
12/15/2025,SEBZE,ARMUT  DEVECI,KG,50,100.0,75.0
12/15/2025,SEBZE,ARMUT  S.MARIA,KG,60,100.0,80.0
12/15/2025,SEBZE,AYVA,KG,100,150.0,125.0
12/15/2025,SEBZE,CILEK,KG,100,150.0,125.0
12/15/2025,SEBZE,ELMA  GOLDEN,KG,30,80.0,55.0
12/15/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/15/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/15/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/15/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/15/2025,SEBZE,MANDALİNA,KG,13,28.0,20.5
12/15/2025,SEBZE,NAR,KG,50,80.0,65.0
12/15/2025,SEBZE,ÜZÜM  BEYAZ,KG,35,70.0,52.5
12/15/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/15/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/15/2025,SEBZE,MUZ  ITHAL,KG,65,130.0,97.5
12/15/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/15/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/15/2025,SEBZE,CİBEZ,KG,30,50.0,40.0
12/15/2025,SEBZE,DOMATES  BEEF,KG,50,65.0,57.5
12/15/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
12/15/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/15/2025,SEBZE,FASULYE   AYSE,KG,80,140.0,110.0
12/15/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/15/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/15/2025,SEBZE,KABAK TAZE,KG,25,50.0,37.5
12/15/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/15/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
12/15/2025,SEBZE,LAHANA  KIRMIZI,KG,15,20.0,17.5
12/15/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/15/2025,SEBZE,MARUL KIVIRCIK,ADET,10,15.0,12.5
12/15/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/15/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/15/2025,SEBZE,PATLICAN TOPAN,KG,20,40.0,30.0
12/15/2025,SEBZE,PIRASA,KG,15,35.0,25.0
12/15/2025,SEBZE,SALATALIK  SİLOR,KG,30,60.0,45.0
12/15/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
12/15/2025,SEBZE,SOĞAN   KURU,KG,4,12.0,8.0
12/15/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/15/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/15/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/15/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
12/15/2025,SEBZE,ARMUT  DİĞER,KG,50,90.0,70.0
12/15/2025,SEBZE,ARMUT AKÇA,KG,50,100.0,75.0
12/15/2025,SEBZE,CENNET ELMASI,KG,50,100.0,75.0
12/15/2025,SEBZE,ELMA  DİĞER,KG,40,75.0,57.5
12/15/2025,SEBZE,ELMA  STARKING,KG,30,80.0,55.0
12/15/2025,SEBZE,ERİK  ANJELIKA,KG,80,120.0,100.0
12/15/2025,SEBZE,KESTANE,KG,180,280.0,230.0
12/15/2025,SEBZE,LİMON  YENİ (MAYER),KG,15,45.0,30.0
12/15/2025,SEBZE,LİMON LAMAS,KG,30,60.0,45.0
12/15/2025,SEBZE,MUZ  YERLI,KG,50,65.0,57.5
12/15/2025,SEBZE,PORTAKAL  ,KG,15,45.0,30.0
12/15/2025,SEBZE,ÜZÜM  SİYAH,KG,70,100.0,85.0
12/15/2025,SEBZE,AVAKADO,ADET,30,50.0,40.0
12/15/2025,SEBZE,MANGO,ADET,70,85.0,77.5
12/15/2025,SEBZE,ZENCEFİL,KG,100,250.0,175.0
12/16/2025,SEBZE,BİBER  SİVRİ,KG,15,30.0,22.5
12/16/2025,SEBZE,BİBER KIRMIZI,KG,35,65.0,50.0
12/16/2025,SEBZE,BROKOLI,KG,15,30.0,22.5
12/16/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,5,10.0,7.5
12/16/2025,SEBZE,DOMATES CHERRY,KG,35,50.0,42.5
12/16/2025,SEBZE,DOMATES PEMBE,KG,50,80.0,65.0
12/16/2025,SEBZE,DOMATES SERA,KG,25,40.0,32.5
12/16/2025,SEBZE,FASULYE   CALI,KG,80,130.0,105.0
12/16/2025,SEBZE,HAVUÇ(TAKOZ),KG,10,15.0,12.5
12/16/2025,SEBZE,KABAK  BAL,KG,20,30.0,25.0
12/16/2025,SEBZE,KARNABAHAR,KG,10,15.0,12.5
12/16/2025,SEBZE,KAVUN DİĞER,KG,5,20.0,12.5
12/16/2025,SEBZE,LAHANA  BEYAZ,KG,10,15.0,12.5
12/16/2025,SEBZE,MANTAR,KG,60,120.0,90.0
12/16/2025,SEBZE,MARUL AYSBERG,ADET,10,15.0,12.5
12/16/2025,SEBZE,MARUL LOLOROSSO,ADET,20,30.0,25.0
12/16/2025,SEBZE,PATATES  CALMA,KG,10,16.0,13.0
12/16/2025,SEBZE,PATLICAN  UZUN,KG,20,35.0,27.5
12/16/2025,SEBZE,PAZI,ADET,10,20.0,15.0
12/16/2025,SEBZE,SALATALIK ,KG,20,45.0,32.5
12/16/2025,SEBZE,SARIMSAK  KURU,KG,70,160.0,115.0
12/16/2025,SEBZE,SOĞAN   KIRMIZI,KG,10,35.0,22.5
12/16/2025,SEBZE,SOĞAN   TAZE,KG,30,50.0,40.0
12/16/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
12/16/2025,SEBZE,Y.NANE,BAĞ,3,7.0,5.0
12/16/2025,SEBZE,Y.ROKA,BAĞ,3,7.0,5.0
12/16/2025,SEBZE,ARMUT  DEVECI,KG,50,100.0,75.0
12/16/2025,SEBZE,ARMUT  S.MARIA,KG,60,100.0,80.0
12/16/2025,SEBZE,AYVA,KG,100,150.0,125.0
12/16/2025,SEBZE,CILEK,KG,100,150.0,125.0
12/16/2025,SEBZE,ELMA  GOLDEN,KG,30,80.0,55.0
12/16/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/16/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/16/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/16/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/16/2025,SEBZE,MANDALİNA,KG,13,28.0,20.5
12/16/2025,SEBZE,NAR,KG,50,80.0,65.0
12/16/2025,SEBZE,ÜZÜM  BEYAZ,KG,35,70.0,52.5
12/16/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/16/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/16/2025,SEBZE,MUZ  ITHAL,KG,65,130.0,97.5
12/16/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/16/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/16/2025,SEBZE,CİBEZ,KG,30,50.0,40.0
12/16/2025,SEBZE,DOMATES  BEEF,KG,50,65.0,57.5
12/16/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
12/16/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/16/2025,SEBZE,FASULYE   AYSE,KG,80,140.0,110.0
12/16/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/16/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/16/2025,SEBZE,KABAK TAZE,KG,25,50.0,37.5
12/16/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/16/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
12/16/2025,SEBZE,LAHANA  KIRMIZI,KG,15,20.0,17.5
12/16/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/16/2025,SEBZE,MARUL KIVIRCIK,ADET,10,15.0,12.5
12/16/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/16/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/16/2025,SEBZE,PATLICAN TOPAN,KG,20,40.0,30.0
12/16/2025,SEBZE,PIRASA,KG,15,35.0,25.0
12/16/2025,SEBZE,SALATALIK  SİLOR,KG,30,60.0,45.0
12/16/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
12/16/2025,SEBZE,SOĞAN   KURU,KG,4,12.0,8.0
12/16/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/16/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/16/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/16/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
12/16/2025,SEBZE,ARMUT  DİĞER,KG,50,90.0,70.0
12/16/2025,SEBZE,ARMUT AKÇA,KG,50,100.0,75.0
12/16/2025,SEBZE,CENNET ELMASI,KG,50,100.0,75.0
12/16/2025,SEBZE,ELMA  DİĞER,KG,40,75.0,57.5
12/16/2025,SEBZE,ELMA  STARKING,KG,30,80.0,55.0
12/16/2025,SEBZE,ERİK  ANJELIKA,KG,80,120.0,100.0
12/16/2025,SEBZE,KESTANE,KG,180,280.0,230.0
12/16/2025,SEBZE,LİMON  YENİ (MAYER),KG,15,45.0,30.0
12/16/2025,SEBZE,LİMON LAMAS,KG,30,60.0,45.0
12/16/2025,SEBZE,MUZ  YERLI,KG,50,65.0,57.5
12/16/2025,SEBZE,PORTAKAL  ,KG,15,45.0,30.0
12/16/2025,SEBZE,ÜZÜM  SİYAH,KG,70,100.0,85.0
12/16/2025,SEBZE,AVAKADO,ADET,30,50.0,40.0
12/16/2025,SEBZE,MANGO,ADET,70,85.0,77.5
12/16/2025,SEBZE,ZENCEFİL,KG,100,250.0,175.0
12/17/2025,SEBZE,BİBER  SİVRİ,KG,15,30.0,22.5
12/17/2025,SEBZE,BİBER KIRMIZI,KG,35,65.0,50.0
12/17/2025,SEBZE,BROKOLI,KG,15,30.0,22.5
12/17/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,5,10.0,7.5
12/17/2025,SEBZE,DOMATES CHERRY,KG,35,50.0,42.5
12/17/2025,SEBZE,DOMATES PEMBE,KG,50,80.0,65.0
12/17/2025,SEBZE,DOMATES SERA,KG,25,40.0,32.5
12/17/2025,SEBZE,FASULYE   CALI,KG,80,130.0,105.0
12/17/2025,SEBZE,HAVUÇ(TAKOZ),KG,10,15.0,12.5
12/17/2025,SEBZE,KABAK  BAL,KG,20,30.0,25.0
12/17/2025,SEBZE,KARNABAHAR,KG,10,15.0,12.5
12/17/2025,SEBZE,KAVUN DİĞER,KG,5,20.0,12.5
12/17/2025,SEBZE,LAHANA  BEYAZ,KG,10,15.0,12.5
12/17/2025,SEBZE,MANTAR,KG,60,120.0,90.0
12/17/2025,SEBZE,MARUL AYSBERG,ADET,10,15.0,12.5
12/17/2025,SEBZE,MARUL LOLOROSSO,ADET,20,30.0,25.0
12/17/2025,SEBZE,PATATES  CALMA,KG,10,16.0,13.0
12/17/2025,SEBZE,PATLICAN  UZUN,KG,20,35.0,27.5
12/17/2025,SEBZE,PAZI,ADET,10,20.0,15.0
12/17/2025,SEBZE,SALATALIK ,KG,20,45.0,32.5
12/17/2025,SEBZE,SARIMSAK  KURU,KG,70,160.0,115.0
12/17/2025,SEBZE,SOĞAN   KIRMIZI,KG,10,35.0,22.5
12/17/2025,SEBZE,SOĞAN   TAZE,KG,30,50.0,40.0
12/17/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
12/17/2025,SEBZE,Y.NANE,BAĞ,3,7.0,5.0
12/17/2025,SEBZE,Y.ROKA,BAĞ,3,7.0,5.0
12/17/2025,SEBZE,ARMUT  DEVECI,KG,50,100.0,75.0
12/17/2025,SEBZE,ARMUT  S.MARIA,KG,60,100.0,80.0
12/17/2025,SEBZE,AYVA,KG,100,150.0,125.0
12/17/2025,SEBZE,CILEK,KG,100,150.0,125.0
12/17/2025,SEBZE,ELMA  GOLDEN,KG,30,80.0,55.0
12/17/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/17/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/17/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/17/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/17/2025,SEBZE,MANDALİNA,KG,13,28.0,20.5
12/17/2025,SEBZE,NAR,KG,50,80.0,65.0
12/17/2025,SEBZE,ÜZÜM  BEYAZ,KG,35,70.0,52.5
12/17/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/17/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/17/2025,SEBZE,MUZ  ITHAL,KG,65,130.0,97.5
12/17/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/17/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/17/2025,SEBZE,CİBEZ,KG,30,50.0,40.0
12/17/2025,SEBZE,DOMATES  BEEF,KG,50,65.0,57.5
12/17/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
12/17/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/17/2025,SEBZE,FASULYE   AYSE,KG,80,140.0,110.0
12/17/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/17/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/17/2025,SEBZE,KABAK TAZE,KG,25,50.0,37.5
12/17/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/17/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
12/17/2025,SEBZE,LAHANA  KIRMIZI,KG,15,20.0,17.5
12/17/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/17/2025,SEBZE,MARUL KIVIRCIK,ADET,10,15.0,12.5
12/17/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/17/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/17/2025,SEBZE,PATLICAN TOPAN,KG,20,40.0,30.0
12/17/2025,SEBZE,PIRASA,KG,15,35.0,25.0
12/17/2025,SEBZE,SALATALIK  SİLOR,KG,30,60.0,45.0
12/17/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
12/17/2025,SEBZE,SOĞAN   KURU,KG,4,12.0,8.0
12/17/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/17/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/17/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/17/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
12/17/2025,SEBZE,ARMUT  DİĞER,KG,50,90.0,70.0
12/17/2025,SEBZE,ARMUT AKÇA,KG,50,100.0,75.0
12/17/2025,SEBZE,CENNET ELMASI,KG,50,100.0,75.0
12/17/2025,SEBZE,ELMA  DİĞER,KG,40,75.0,57.5
12/17/2025,SEBZE,ELMA  STARKING,KG,30,80.0,55.0
12/17/2025,SEBZE,ERİK  ANJELIKA,KG,80,120.0,100.0
12/17/2025,SEBZE,KESTANE,KG,180,280.0,230.0
12/17/2025,SEBZE,LİMON  YENİ (MAYER),KG,15,45.0,30.0
12/17/2025,SEBZE,LİMON LAMAS,KG,30,60.0,45.0
12/17/2025,SEBZE,MUZ  YERLI,KG,50,65.0,57.5
12/17/2025,SEBZE,PORTAKAL  ,KG,15,45.0,30.0
12/17/2025,SEBZE,ÜZÜM  SİYAH,KG,70,100.0,85.0
12/17/2025,SEBZE,AVAKADO,ADET,30,50.0,40.0
12/17/2025,SEBZE,MANGO,ADET,70,85.0,77.5
12/17/2025,SEBZE,ZENCEFİL,KG,100,250.0,175.0
12/18/2025,SEBZE,BİBER  SİVRİ,KG,15,30.0,22.5
12/18/2025,SEBZE,BİBER KIRMIZI,KG,35,65.0,50.0
12/18/2025,SEBZE,BROKOLI,KG,15,30.0,22.5
12/18/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,5,10.0,7.5
12/18/2025,SEBZE,DOMATES CHERRY,KG,35,50.0,42.5
12/18/2025,SEBZE,DOMATES PEMBE,KG,50,80.0,65.0
12/18/2025,SEBZE,DOMATES SERA,KG,25,40.0,32.5
12/18/2025,SEBZE,FASULYE   CALI,KG,80,130.0,105.0
12/18/2025,SEBZE,HAVUÇ(TAKOZ),KG,10,15.0,12.5
12/18/2025,SEBZE,KABAK  BAL,KG,20,30.0,25.0
12/18/2025,SEBZE,KARNABAHAR,KG,10,15.0,12.5
12/18/2025,SEBZE,KAVUN DİĞER,KG,5,20.0,12.5
12/18/2025,SEBZE,LAHANA  BEYAZ,KG,10,15.0,12.5
12/18/2025,SEBZE,MANTAR,KG,60,120.0,90.0
12/18/2025,SEBZE,MARUL AYSBERG,ADET,10,15.0,12.5
12/18/2025,SEBZE,MARUL LOLOROSSO,ADET,20,30.0,25.0
12/18/2025,SEBZE,PATATES  CALMA,KG,10,16.0,13.0
12/18/2025,SEBZE,PATLICAN  UZUN,KG,20,35.0,27.5
12/18/2025,SEBZE,PAZI,ADET,10,20.0,15.0
12/18/2025,SEBZE,SALATALIK ,KG,20,45.0,32.5
12/18/2025,SEBZE,SARIMSAK  KURU,KG,70,160.0,115.0
12/18/2025,SEBZE,SOĞAN   KIRMIZI,KG,10,35.0,22.5
12/18/2025,SEBZE,SOĞAN   TAZE,KG,30,50.0,40.0
12/18/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
12/18/2025,SEBZE,Y.NANE,BAĞ,3,7.0,5.0
12/18/2025,SEBZE,Y.ROKA,BAĞ,3,7.0,5.0
12/18/2025,SEBZE,ARMUT  DEVECI,KG,50,100.0,75.0
12/18/2025,SEBZE,ARMUT  S.MARIA,KG,60,100.0,80.0
12/18/2025,SEBZE,AYVA,KG,100,150.0,125.0
12/18/2025,SEBZE,CILEK,KG,100,150.0,125.0
12/18/2025,SEBZE,ELMA  GOLDEN,KG,30,80.0,55.0
12/18/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/18/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/18/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/18/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/18/2025,SEBZE,MANDALİNA,KG,13,28.0,20.5
12/18/2025,SEBZE,NAR,KG,50,80.0,65.0
12/18/2025,SEBZE,ÜZÜM  BEYAZ,KG,35,70.0,52.5
12/18/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/18/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/18/2025,SEBZE,MUZ  ITHAL,KG,65,130.0,97.5
12/18/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/18/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/18/2025,SEBZE,CİBEZ,KG,30,50.0,40.0
12/18/2025,SEBZE,DOMATES  BEEF,KG,50,65.0,57.5
12/18/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
12/18/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/18/2025,SEBZE,FASULYE   AYSE,KG,80,140.0,110.0
12/18/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/18/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/18/2025,SEBZE,KABAK TAZE,KG,25,50.0,37.5
12/18/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/18/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
12/18/2025,SEBZE,LAHANA  KIRMIZI,KG,15,20.0,17.5
12/18/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/18/2025,SEBZE,MARUL KIVIRCIK,ADET,10,15.0,12.5
12/18/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/18/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/18/2025,SEBZE,PATLICAN TOPAN,KG,20,40.0,30.0
12/18/2025,SEBZE,PIRASA,KG,15,35.0,25.0
12/18/2025,SEBZE,SALATALIK  SİLOR,KG,30,60.0,45.0
12/18/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
12/18/2025,SEBZE,SOĞAN   KURU,KG,4,12.0,8.0
12/18/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/18/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/18/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/18/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
12/18/2025,SEBZE,ARMUT  DİĞER,KG,50,90.0,70.0
12/18/2025,SEBZE,ARMUT AKÇA,KG,50,100.0,75.0
12/18/2025,SEBZE,CENNET ELMASI,KG,50,100.0,75.0
12/18/2025,SEBZE,ELMA  DİĞER,KG,40,75.0,57.5
12/18/2025,SEBZE,ELMA  STARKING,KG,30,80.0,55.0
12/18/2025,SEBZE,ERİK  ANJELIKA,KG,80,120.0,100.0
12/18/2025,SEBZE,KESTANE,KG,180,280.0,230.0
12/18/2025,SEBZE,LİMON  YENİ (MAYER),KG,15,45.0,30.0
12/18/2025,SEBZE,LİMON LAMAS,KG,30,60.0,45.0
12/18/2025,SEBZE,MUZ  YERLI,KG,50,65.0,57.5
12/18/2025,SEBZE,PORTAKAL  ,KG,15,45.0,30.0
12/18/2025,SEBZE,ÜZÜM  SİYAH,KG,70,100.0,85.0
12/18/2025,SEBZE,AVAKADO,ADET,30,50.0,40.0
12/18/2025,SEBZE,MANGO,ADET,70,85.0,77.5
12/18/2025,SEBZE,ZENCEFİL,KG,100,250.0,175.0
12/19/2025,SEBZE,BİBER  SİVRİ,KG,15,30.0,22.5
12/19/2025,SEBZE,BİBER KIRMIZI,KG,35,65.0,50.0
12/19/2025,SEBZE,BROKOLI,KG,15,30.0,22.5
12/19/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,5,10.0,7.5
12/19/2025,SEBZE,DOMATES CHERRY,KG,35,50.0,42.5
12/19/2025,SEBZE,DOMATES PEMBE,KG,50,80.0,65.0
12/19/2025,SEBZE,DOMATES SERA,KG,25,40.0,32.5
12/19/2025,SEBZE,FASULYE   CALI,KG,80,130.0,105.0
12/19/2025,SEBZE,HAVUÇ(TAKOZ),KG,10,15.0,12.5
12/19/2025,SEBZE,KABAK  BAL,KG,20,30.0,25.0
12/19/2025,SEBZE,KARNABAHAR,KG,10,15.0,12.5
12/19/2025,SEBZE,KAVUN DİĞER,KG,5,20.0,12.5
12/19/2025,SEBZE,LAHANA  BEYAZ,KG,10,15.0,12.5
12/19/2025,SEBZE,MANTAR,KG,60,120.0,90.0
12/19/2025,SEBZE,MARUL AYSBERG,ADET,10,15.0,12.5
12/19/2025,SEBZE,MARUL LOLOROSSO,ADET,20,30.0,25.0
12/19/2025,SEBZE,PATATES  CALMA,KG,10,16.0,13.0
12/19/2025,SEBZE,PATLICAN  UZUN,KG,20,35.0,27.5
12/19/2025,SEBZE,PAZI,ADET,10,20.0,15.0
12/19/2025,SEBZE,SALATALIK ,KG,20,45.0,32.5
12/19/2025,SEBZE,SARIMSAK  KURU,KG,70,160.0,115.0
12/19/2025,SEBZE,SOĞAN   KIRMIZI,KG,10,35.0,22.5
12/19/2025,SEBZE,SOĞAN   TAZE,KG,30,50.0,40.0
12/19/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
12/19/2025,SEBZE,Y.NANE,BAĞ,3,7.0,5.0
12/19/2025,SEBZE,Y.ROKA,BAĞ,3,7.0,5.0
12/19/2025,SEBZE,ARMUT  DEVECI,KG,50,100.0,75.0
12/19/2025,SEBZE,ARMUT  S.MARIA,KG,60,100.0,80.0
12/19/2025,SEBZE,AYVA,KG,100,150.0,125.0
12/19/2025,SEBZE,CILEK,KG,100,150.0,125.0
12/19/2025,SEBZE,ELMA  GOLDEN,KG,30,80.0,55.0
12/19/2025,SEBZE,ELMA GSMİT,KG,40,100.0,70.0
12/19/2025,SEBZE,GREYFURT,KG,20,40.0,30.0
12/19/2025,SEBZE,KIVI  ,KG,80,120.0,100.0
12/19/2025,SEBZE,LİMON DİĞER ,KG,50,100.0,75.0
12/19/2025,SEBZE,MANDALİNA,KG,13,28.0,20.5
12/19/2025,SEBZE,NAR,KG,50,80.0,65.0
12/19/2025,SEBZE,ÜZÜM  BEYAZ,KG,35,70.0,52.5
12/19/2025,SEBZE,ANANAS,ADET,70,110.0,90.0
12/19/2025,SEBZE,HINDISTAN CEVIZI,ADET,50,100.0,75.0
12/19/2025,SEBZE,MUZ  ITHAL,KG,65,130.0,97.5
12/19/2025,SEBZE,BİBER ÇARLİSTON,KG,15,30.0,22.5
12/19/2025,SEBZE,BİBER KÖY(MAZO),KG,20,40.0,30.0
12/19/2025,SEBZE,CİBEZ,KG,30,50.0,40.0
12/19/2025,SEBZE,DOMATES  BEEF,KG,50,65.0,57.5
12/19/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
12/19/2025,SEBZE,DOMATES SALKIM  (İYİ TARIM),KG,25,65.0,45.0
12/19/2025,SEBZE,FASULYE   AYSE,KG,80,140.0,110.0
12/19/2025,SEBZE,HAVUÇ,KG,10,20.0,15.0
12/19/2025,SEBZE,ISPANAK,KG,15,20.0,17.5
12/19/2025,SEBZE,KABAK TAZE,KG,25,50.0,37.5
12/19/2025,SEBZE,KARPUZ,KG,10,25.0,17.5
12/19/2025,SEBZE,KEREVIZ,KG,20,35.0,27.5
12/19/2025,SEBZE,LAHANA  KIRMIZI,KG,15,20.0,17.5
12/19/2025,SEBZE,MARUL,ADET,10,15.0,12.5
12/19/2025,SEBZE,MARUL KIVIRCIK,ADET,10,15.0,12.5
12/19/2025,SEBZE,PANCAR,KG,15,20.0,17.5
12/19/2025,SEBZE,PATATES DİĞER,KG,4,13.0,8.5
12/19/2025,SEBZE,PATLICAN TOPAN,KG,20,40.0,30.0
12/19/2025,SEBZE,PIRASA,KG,15,35.0,25.0
12/19/2025,SEBZE,SALATALIK  SİLOR,KG,30,60.0,45.0
12/19/2025,SEBZE,SEMIZ OTU,ADET,10,25.0,17.5
12/19/2025,SEBZE,SOĞAN   KURU,KG,4,12.0,8.0
12/19/2025,SEBZE,TURP  KIRMIZI,KG,10,20.0,15.0
12/19/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,7.0,5.0
12/19/2025,SEBZE,Y.REYHAN,ADET,8,20.0,14.0
12/19/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
